id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3467,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Lieferfristen und Regelungen zur Nachlieferung in AGB üblich sind und die Formulierungen klar und transparent erfolgen. Die Klausel ist weder versteckt noch mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Lieferfristen transparent und im Rahmen des gesetzlich Zulässigen geregelt sind.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da die Regelung die gesetzlichen Lieferpflichten (§ 433 BGB, § 271 BGB) nicht einschränkt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2622,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da eine zeitliche Begrenzung der Reservierung und Zahlungsfrist im Onlinehandel üblich ist und klar formuliert wird. Die Platzierung als Hinweis ist transparent und verständlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da dem Verbraucher eine angemessene Frist zur Zahlung eingeräumt wird und die Regelung klar ist.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt; der Vertrag kommt erst mit Zahlung zustande bzw. wird bei Nichtzahlung wirksam aufgelöst.  
   c) (§ 308 BGB): Nicht einschlägig, da keine unzulässige Bindungsfrist oder einseitige Vertragsänderung vorliegt.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2834,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da der Hinweis, dass Produktdarstellungen im Onlineshop kein bindendes Angebot darstellen, branchenüblich ist und der Erwartungshaltung des Verbrauchers entspricht. Die Formulierung ist klar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich den rechtlichen Charakter der Produktdarstellung klarstellt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2407,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Regelung der Verjährungsfristen und die Erweiterung durch eine Herstellergarantie branchenüblich und klar formuliert sind. Die Differenzierung zwischen Verbrauchern und gewerblichen Käufern ist transparent und nicht ungewöhnlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da für Verbraucher die gesetzliche Verjährungsfrist von zwei Jahren beibehalten wird und die zusätzliche Herstellergarantie eine Besserstellung darstellt.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung vom wesentlichen gesetzlichen Grundgedanken zulasten des Verbrauchers; die Verkürzung auf ein Jahr betrifft nur Unternehmer, was zulässig ist.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig, da keine unzulässigen Haftungs- oder Gewährleistungsausschlüsse für Verbraucher enthalten sind.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3463,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da der Ausschluss des Widerrufsrechts für individuell angefertigte Waren sowie entsiegelte Datenträger gesetzlich in § 312g Abs. 2 Nr. 1 und Nr. 6 BGB vorgesehen ist und branchenüblich ist. Die Formulierung ist klar und verständlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel die gesetzliche Regelung wiedergibt und transparent formuliert ist.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung vom wesentlichen gesetzlichen Grundgedanken, vielmehr Umsetzung der gesetzlichen Ausnahmevorschriften.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1124,0,Unwirksam,"1. Überraschende Klauseln: Keine objektiv überraschende Platzierung, jedoch ist die Formulierung unklar, da nicht eindeutig wird, welche „Kosten“ konkret gemeint sind und wie diese berechnet werden; dies kann den Verbraucher benachteiligen (§ 305c Abs. 1 BGB i.V.m. § 307 Abs. 1 S. 2 BGB).  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Unangemessene Benachteiligung durch Intransparenz, da der Verbraucher nicht klar erkennen kann, welche finanziellen Folgen eintreten.  
   b) (§ 307 Abs. 2 BGB): Abweichung vom gesetzlichen Leitbild, da ohne klare Regelung eine Zahlungspflicht unabhängig von einer vertraglichen oder gesetzlichen Grundlage entstehen kann.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1872,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Festlegung der Liefermodalitäten, einschließlich des Ausschlusses der Selbstabholung, im Onlinehandel üblich ist und der Verbraucher damit rechnen muss.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Wahl der Versandart im Rahmen der Vertragsfreiheit dem Unternehmer zusteht.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2718,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Information zur Nichtteilnahme an einem Streitbeilegungsverfahren gesetzlich vorgesehen ist (§ 36 VSBG) und Verbraucher mit solchen Hinweisen rechnen müssen. Die Formulierung ist klar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da lediglich eine gesetzlich zulässige Information über die Nichtteilnahme erfolgt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da kein Abweichen von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2526,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da das Recht zur vorzeitigen Rückzahlung und die entsprechende Zins- und Kostenanpassung dem gesetzlichen Leitbild (§ 500 BGB) entsprechen und für Verbraucher günstig sind. Die Formulierung ist klar und transparent.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel ein gesetzlich vorgesehenes Verbraucherrecht wiedergibt und keine zusätzlichen Einschränkungen enthält.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung vom wesentlichen gesetzlichen Grundgedanken vorliegt, sondern vielmehr eine gesetzeskonforme Regelung.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2185,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Weitergabe personenbezogener Daten im Rahmen einer Reklamationsabwicklung branchenüblich ist und klar benannt wird. Die Formulierung ist transparent und eindeutig, sodass der Verbraucher den Inhalt ohne weiteres erfassen kann.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Datenweitergabe auf den Zweck der Reklamationsabwicklung beschränkt ist und ein jederzeitiger Widerruf möglich ist.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da die Klausel die DSGVO-konforme Einwilligungserklärung ergänzt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3750,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da der Ausschluss des UN-Kaufrechts (CISG) in internationalen Vertragsbeziehungen üblich ist und für den Verbraucher keine ungewöhnliche Regelung darstellt. Die Formulierung ist klar und eindeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da das UN-Kaufrecht im B2C-Bereich regelmäßig keine Anwendung findet und nationales Recht gilt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da kein Abweichen von wesentlichen gesetzlichen Grundgedanken des BGB vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",12,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 2, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
958,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Sicherheits- und Warnhinweispflichten im Rahmen von Produktnutzung üblich sind und der Inhalt klar formuliert ist.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die gesetzlich gebotene Produktsicherheit und Warnhinweise schützt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
98,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da der Ausschluss des Widerrufsrechts für bestimmte Dienstleistungen mit festem Termin gesetzlich in § 312g Abs. 2 Nr. 9 BGB vorgesehen ist und in Verbraucher-AGB üblich ist. Die Formulierung ist klar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich den gesetzlichen Ausschlusstatbestand wiedergibt.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung vom gesetzlichen Leitbild, vielmehr Umsetzung der gesetzlichen Regelung.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3299,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Regelungen zur Einlösung und Gültigkeit von Gutscheincodes im Onlinehandel üblich sind und klar formuliert werden. Die Platzierung und der Inhalt sind für den Verbraucher erwartbar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Bedingungen zur Einlösung und der Ausschluss nachträglicher Einlösung transparent und nachvollziehbar sind.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da es keine gesetzliche Pflicht zur nachträglichen Gutscheineinlösung gibt und die Rückabwicklung bei Unterschreiten des Mindestbestellwerts sachlich gerechtfertigt ist.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
502,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Vereinbarung einer SEPA-Lastschrift mit Vorabankündigung im Onlinehandel üblich ist und die Frist klar angegeben wird. Die Platzierung im Zahlungsabschnitt ist erwartbar und nicht ungewöhnlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Frist von vier Werktagen für die Prenotification im Rahmen der SEPA-Regeln zulässig ist und dem Verbraucher ausreichend Zeit zur Disposition lässt.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da die SEPA-Bedingungen eingehalten werden.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1091,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Beschreibung einer Komfortfunktion („Schnellkauf“) im Onlinehandel üblich ist und weder inhaltlich noch von der Platzierung her unerwartet erscheint. Die Formulierung ist klar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da lediglich eine optionale Funktion beschrieben wird, ohne Rechte oder Pflichten des Verbrauchers einzuschränken.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2706,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da es branchenüblich ist, dass Geschenkgutscheine nicht in Bargeld ausgezahlt oder verzinst werden; die Formulierung ist klar und verständlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da der Verbraucher den Gutscheinwert durch Waren- oder Dienstleistungsbezug realisieren kann und ein gesetzlicher Anspruch auf Verzinsung nicht besteht.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da weder eine gesetzliche Pflicht zur Barauszahlung noch zur Verzinsung von Gutscheinguthaben besteht.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
